N_unmapped	2029362	2029362	2029362
N_multimapping	7921080	7921080	7921080
N_noFeature	249425	7655732	7688582
N_ambiguous	77164	17473	17146
YAL068C	5	3	2
YAL067W-A	0	0	0
YAL067C	423	205	218
YAL065C	19	15	12
YAL064W-B	51	29	30
YAL064C-A	109	59	50
YAL064W	1	1	0
YAL063C-A	4	2	2
YAL063C	401	191	210
YAL062W	864	435	429
YAL061W	722	373	349
YAL060W	2918	1439	1479
YAL059W	793	403	390
YAL058W	581	302	279
YAL056W	1985	957	1028
YAL055W	358	168	190
YAL054C	339	170	169
YAL053W	6658	3347	3311
YAL051W	765	381	384
YAL049C	1137	563	574
YAL048C	395	203	192
YAL047C	280	149	131
YAL046C	431	234	198
YAL044W-A	517	262	261
YAL044C	2202	1107	1100
YAL043C	2096	1081	1016
YAL042W	6872	3453	3420
YAL041W	930	447	483
YAL040C	2554	1374	1180
YAL039C	8796	4479	4318
YAL038W	122119	61626	60542
YAL037C-A	18	45	21
YAL037W	98	52	48
YAL036C	3269	1642	1629
YAL035W	28168	14044	14124
YAL034W-A	260	121	139
YAL034C	723	352	371
YAL033W	215	102	113
YAL032C	693	345	348
YAL031C	639	327	312
YAL030W	638	313	331
YAL029C	3142	1569	1579
YAL028W	272	133	139
YAL027W	315	153	162
YAL026C	1834	1049	1114
YNCA0001W	0	169	160
YAL025C	4933	2378	2555
YAL024C	651	310	341
YAL023C	8176	4094	4082
YAL022C	1922	984	938
YAL021C	4493	2301	2192
YAL020C	1453	742	711
YAL019W	4457	2333	2124
YAL018C	16	8	8
YAL017W	1730	886	844
YAL016W	2321	1192	1130
YAL015C	1089	557	533
YAL014C	1223	601	622
YAL013W	3053	1604	1449
YAL012W	14260	7250	7010
YAL011W	1308	658	653
YAL010C	397	209	191
YAL009W	406	189	217
YAL008W	864	424	440
YAL007C	1387	665	722
YNCA0002W	3	1	2
YAL005C	8632	4353	4279
YAL003W	20752	10549	10203
YNCA0003W	62	29	33
YAL002W	578	299	279
YAL001C	1453	731	722
YAR002W	1318	646	672
YAR002C-A	1754	882	872
YAR003W	608	288	320
YAR007C	1588	804	784
YAR008W	447	221	226
YAR009C	238	109	129
YAR010C	0	0	0
YNCA0004W	4	2	2
YAR014C	2357	1155	1202
YAR015W	2259	1172	1114
YAR018C	849	441	435
YAR019C	405	203	202
YAR020C	29	20	9
YAR023C	55	24	31
YNCA0005W	2	1	1
YNCA0006C	0	0	0
YAR027W	775	403	372
YAR028W	230	106	124
YAR029W	34	19	15
YAR031W	64	32	32
YAR033W	125	54	71
YAR035W	685	342	344
YAR035C-A	2	2	1
YAR042W	2953	1501	1452
