gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YOR235W	13.1817666741442	-5.82975956272783	1.52936677451788	-3.81187800066182	0.000137914946917886	0.000302092094195415
YMR230W-A	4.14882973670214	-5.63319786660644	1.81039222848198	-3.11158973065737	0.0018608291210736	0.00344459385286156
YKL096C-B	4.01293588480324	-5.59481876678006	1.83815030532132	-3.04372213228888	0.00233670859932753	0.00427430794935888
YOL166W-A	3.56394387303211	-5.41661101964616	1.86265450297613	-2.90800629477531	0.00363741015795292	0.00646516787412054
YBL044W	43.3061065156147	-4.94977964486955	0.681175686323566	-7.26652425247948	3.68855018062725e-13	1.77393110153883e-12
YNL146C-A	2.53006599759095	-4.91505024931505	2.02651819294427	-2.42536695028339	0.0152929202360735	0.0247174807759709
YOL058W	9766.43217095896	-4.88035211216721	0.0893460820114046	-54.6230120258016	0	0
YJL088W	2126.85318466433	-4.87620180208978	0.126129698099986	-38.6602194054593	0	0
YHR094C	4791.57089839937	-4.85705663552631	0.0935886239010138	-51.897938371906	0	0
YLR302C	2.13570267683176	-4.68553716352609	2.12141562635842	-2.20868419432226	0.027196614555437	0.0421115776677077
YBR032W	68.3757707751418	-4.49471358724213	0.488814824547648	-9.19512535529494	3.74557617725788e-20	2.80490419060898e-19
YGL041C-B	4.02637373154116	-4.09233607480387	1.7800952839841	-2.29894214743643	0.0215082246589945	0.0338273010961425
YOR348C	2992.09463241746	-3.8997046189471	0.264360117321669	-14.7514861865567	3.00963314910181e-49	7.3387790135743e-48
YAL067C	223.090968353364	-3.85991263024031	0.249528341004507	-15.4688345808807	5.63173950288034e-54	1.56022980312192e-52
YKL097C	17.3122435839418	-3.81126177116693	0.83928825228191	-4.54106412285008	5.59710035931799e-06	1.45756792675796e-05
YLR296W	11.6919186292335	-3.59701308266881	0.97462949669468	-3.69064664558951	0.000223684688275525	0.000475491118700963
YPL198W	1795.13793862865	-3.53014725999796	0.109513045431425	-32.2349474082378	5.71835617723277e-228	1.77600104220266e-225
YBL071C-B	19.2761983660388	-3.50583544580441	0.745270208099768	-4.70411322994289	2.54971720773987e-06	6.93678250017196e-06
YGL125W	5415.76393493757	-3.43050371268365	0.0818644230826878	-41.9046953915335	0	0
YGR032W	8266.43590501722	-3.42226133806626	0.322453433199721	-10.6131955368159	2.58745377972956e-26	2.68340329599018e-25
YJL153C	2613.03664956616	-3.35106648929496	0.0941405445941262	-35.596421326673	1.59144278390003e-277	7.82591988982839e-275
YPL130W	17.6378393006214	-3.35101717877417	0.757819668015346	-4.42191898707267	9.78281389826975e-06	2.48722037111977e-05
YDR523C	83.2966924075362	-3.30881452993015	0.353485080705743	-9.36054931462456	7.93232048285377e-21	6.20804020813264e-20
YDL182W	11672.3585788579	-3.29455602946443	0.0953071417791604	-34.5677770622727	7.70708799577271e-262	3.03196841753698e-259
YGR108W	503.04883836548	-3.28933203747807	0.158923390684047	-20.6975953842914	3.64088490038675e-95	2.41402941541373e-93
YER069W	6400.55628636647	-3.25117537208006	0.0821303687344537	-39.5855445699002	0	0
YFR035C	6.94476518212338	-3.22698224400047	1.17463086123722	-2.74723093908969	0.00601007989835103	0.0103548851036991
YNL142W	8494.15771099336	-3.21216214366177	0.107184362383518	-29.9685707152717	2.52085230097323e-197	5.95021977121722e-195
YNR050C	14015.7514577476	-3.14775553326097	0.0740135532782512	-42.5294475651925	0	0
YPL081W	1500.73982515902	-3.14582199229865	0.108538344548581	-28.9835081360633	1.06192143980082e-184	2.08879947208821e-182
YDL131W	7144.92059818263	-3.12141477449579	0.0858846681026797	-36.3442607796303	3.23769863948456e-289	1.73687815196349e-286
YCL025C	9816.26656431398	-3.09311589552652	0.0807640549477919	-38.298174819553	0	0
YCR085W	8.35247076208692	-3.06907615789658	1.0537682110987	-2.91247745526186	0.003585740834208	0.00638101829392684
YLR029C	23655.6697107009	-3.06150875653455	0.0825107144415917	-37.1043782283784	2.38791300573279e-301	1.40910746468292e-298
YDR497C	16677.9598219432	-3.04973481977208	0.0865556414417802	-35.2343852921871	5.95108845011705e-272	2.50838378172434e-269
YER091C	25195.8269031642	-3.04905340682265	0.0759358924056696	-40.1529936664706	0	0
YPL080C	29.0734712503267	-3.0316887266212	0.565546851595075	-5.36063231201905	8.29311599695694e-08	2.67127060578837e-07
YOR032W-A	12.3870651507282	-3.01860499611052	0.855013044092553	-3.53047829733901	0.000414809044808661	0.000849926449102746
YHR067W	420.964544773756	-2.98024888636295	0.171093755280404	-17.4188057388691	5.94041372099383e-68	2.30620930049899e-66
YNL042W-B	7.88388342400953	-2.93879705153552	1.06623538867783	-2.75623664599965	0.00584706767630368	0.0101005697768934
YFR032C-B	62.3824371855511	-2.93814558079395	0.386304696926507	-7.60577234543158	2.83207433757712e-14	1.47372757196143e-13
YDR384C	487.054817686475	-2.91247564897427	0.160177915790841	-18.1827540619105	7.06926966681678e-74	3.09005631880636e-72
YGR087C	206.077586880533	-2.89457734373413	0.217396458120252	-13.3147401239306	1.90032528955075e-40	3.50431860426217e-39
YHR213W-B	27.1024186987308	-2.89396068999993	0.579313520722172	-4.99549999522248	5.86835253699517e-07	1.72284320004022e-06
YFR032C	226.152833015506	-2.89359018919286	0.224246958883986	-12.9035872040069	4.29622687159369e-38	7.34841587515199e-37
YGL008C	55103.8360907954	-2.89312664300544	0.0757590690141351	-38.1885189542871	0	0
YGL184C	555.627434024722	-2.8921413049163	0.145049831419621	-19.9389497844331	1.86948459475336e-88	1.07105131977083e-86
YIL102C	9.24429730606084	-2.85872694419979	0.970511558370061	-2.94558773622533	0.00322341715418559	0.00576755143324716
YOL140W	2268.90120406278	-2.85794764900359	0.101190883864869	-28.2431335694242	1.72841171590612e-175	2.99981103987119e-173
YLR174W	393.175862375686	-2.83012741680553	0.165867449066218	-17.062584809366	2.81805124349528e-65	1.0393325242416e-63
