"GO.ID","Term","Annotated","Significant","Expected","weight01","GeneRatio"
"GO:0051321","meiotic cell cycle",271,25,14.09,0.00882,0.0922509225092251
"GO:0006310","DNA recombination",211,24,10.97,0.00059,0.113744075829384
"GO:0006508","proteolysis",358,46,18.61,5.8e-05,0.128491620111732
"GO:0043161","proteasome-mediated ubiquitin-dependent ...",110,19,5.72,0.00014,0.172727272727273
"GO:0006278","RNA-dependent DNA biosynthetic process",45,8,2.34,0.00176,0.177777777777778
"GO:0075523","viral translational frameshifting",82,15,4.26,1.6e-05,0.182926829268293
"GO:0032197","transposition, RNA-mediated",36,8,1.87,0.00069,0.222222222222222
"GO:0042026","protein refolding",21,5,1.09,0.00376,0.238095238095238
"GO:0006515","protein quality control for misfolded or...",25,6,1.3,0.0078,0.24
"GO:0032196","transposition",54,14,2.81,0.00018,0.259259259259259
"GO:0008645","hexose transmembrane transport",24,7,1.25,0.00071,0.291666666666667
"GO:0015074","DNA integration",40,12,2.08,4.8e-07,0.3
"GO:0043248","proteasome assembly",29,9,1.51,2e-04,0.310344827586207
"GO:0043335","protein unfolding",9,3,0.47,0.00925,0.333333333333333
"GO:0010499","proteasomal ubiquitin-independent protei...",16,6,0.83,9.7e-05,0.375
"GO:0050821","protein stabilization",13,5,0.68,0.00034,0.384615384615385
"GO:0006207","'de novo' pyrimidine nucleobase biosynth...",7,3,0.36,0.00417,0.428571428571429
"GO:0051085","chaperone cofactor-dependent protein ref...",10,5,0.52,7.5e-05,0.5
"GO:0051131","chaperone-mediated protein complex assem...",6,3,0.31,0.00248,0.5
"GO:0000710","meiotic mismatch repair",5,3,0.26,0.00129,0.6
